id,name,email,score,active,department,salary
67,User67,user67@example.com,33.5,False,Dept7,56700
68,User68,user68@example.com,34.0,True,Dept8,56800
69,User69,user69@example.com,34.5,False,Dept9,56900
70,User70,user70@example.com,35.0,True,Dept0,57000
71,User71,user71@example.com,35.5,False,Dept1,57100
72,User72,user72@example.com,36.0,True,Dept2,57200
73,User73,user73@example.com,36.5,False,Dept3,57300
74,User74,user74@example.com,37.0,True,Dept4,57400
75,User75,user75@example.com,37.5,False,Dept5,57500
76,User76,user76@example.com,38.0,True,Dept6,57600
77,User77,user77@example.com,38.5,False,Dept7,57700
78,User78,user78@example.com,39.0,True,Dept8,57800
79,User79,user79@example.com,39.5,False,Dept9,57900
80,User80,user80@example.com,40.0,True,Dept0,58000
81,User81,user81@example.com,40.5,False,Dept1,58100
82,User82,user82@example.com,41.0,True,Dept2,58200
83,User83,user83@example.com,41.5,False,Dept3,58300
84,User84,user84@example.com,42.0,True,Dept4,58400
85,User85,user85@example.com,42.5,False,Dept5,58500
86,User86,user86@example.com,43.0,True,Dept6,58600
87,User87,user87@example.com,43.5,False,Dept7,58700
88,User88,user88@example.com,44.0,True,Dept8,58800
89,User89,user89@example.com,44.5,False,Dept9,58900
90,User90,user90@example.com,45.0,True,Dept0,59000
91,User91,user91@example.com,45.5,False,Dept1,59100
92,User92,user92@example.com,46.0,True,Dept2,59200
93,User93,user93@example.com,46.5,False,Dept3,59300
94,User94,user94@example.com,47.0,True,Dept4,59400
95,User95,user95@example.com,47.5,False,Dept5,59500
96,User96,user96@example.com,48.0,True,Dept6,59600
97,User97,user97@example.com,48.5,False,Dept7,59700
98,User98,user98@example.com,49.0,True,Dept8,59800
99,User99,user99@example.com,49.5,False,Dept9,59900
100,User100,user100@example.com,50.0,True,Dept0,60000
101,User101,user101@example.com,50.5,False,Dept1,60100
102,User102,user102@example.com,51.0,True,Dept2,60200
103,User103,user103@example.com,51.5,False,Dept3,60300
104,User104,user104@example.com,52.0,True,Dept4,60400
105,User105,user105@example.com,52.5,False,Dept5,60500
106,User106,user106@example.com,53.0,True,Dept6,60600
107,User107,user107@example.com,53.5,False,Dept7,60700
108,User108,user108@example.com,54.0,True,Dept8,60800
109,User109,user109@example.com,54.5,False,Dept9,60900
110,User110,user110@example.com,55.0,True,Dept0,61000
111,User111,user111@example.com,55.5,False,Dept1,61100
112,User112,user112@example.com,56.0,True,Dept2,61200
113,User113,user113@example.com,56.5,False,Dept3,61300
114,User114,user114@example.com,57.0,True,Dept4,61400
115,User115,user115@example.com,57.5,False,Dept5,61500
116,User116,user116@example.com,58.0,True,Dept6,61600
117,User117,user117@example.com,58.5,False,Dept7,61700
118,User118,user118@example.com,59.0,True,Dept8,61800
119,User119,user119@example.com,59.5,False,Dept9,61900
120,User120,user120@example.com,60.0,True,Dept0,62000
121,User121,user121@example.com,60.5,False,Dept1,62100
122,User122,user122@example.com,61.0,True,Dept2,62200
123,User123,user123@example.com,61.5,False,Dept3,62300
124,User124,user124@example.com,62.0,True,Dept4,62400
125,User125,user125@example.com,62.5,False,Dept5,62500
126,User126,user126@example.com,63.0,True,Dept6,62600
127,User127,user127@example.com,63.5,False,Dept7,62700
128,User128,user128@example.com,64.0,True,Dept8,62800
129,User129,user129@example.com,64.5,False,Dept9,62900
130,User130,user130@example.com,65.0,True,Dept0,63000
131,User131,user131@example.com,65.5,False,Dept1,63100
132,User132,user132@example.com,66.0,True,Dept2,63200
133,User133,user133@example.com,66.5,False,Dept3,63300
134,User134,user134@example.com,67.0,True,Dept4,63400
135,User135,user135@example.com,67.5,False,Dept5,63500
136,User136,user136@example.com,68.0,True,Dept6,63600
137,User137,user137@example.com,68.5,False,Dept7,63700
138,User138,user138@example.com,69.0,True,Dept8,63800
139,User139,user139@example.com,69.5,False,Dept9,63900
140,User140,user140@example.com,70.0,True,Dept0,64000
141,User141,user141@example.com,70.5,False,Dept1,64100
142,User142,user142@example.com,71.0,True,Dept2,64200
143,User143,user143@example.com,71.5,False,Dept3,64300
144,User144,user144@example.com,72.0,True,Dept4,64400
145,User145,user145@example.com,72.5,False,Dept5,64500
146,User146,user146@example.com,73.0,True,Dept6,64600
147,User147,user147@example.com,73.5,False,Dept7,64700
148,User148,user148@example.com,74.0,True,Dept8,64800
149,User149,user149@example.com,74.5,False,Dept9,64900
150,User150,user150@example.com,75.0,True,Dept0,65000
151,User151,user151@example.com,75.5,False,Dept1,65100
152,User152,user152@example.com,76.0,True,Dept2,65200
153,User153,user153@example.com,76.5,False,Dept3,65300
154,User154,user154@example.com,77.0,True,Dept4,65400
155,User155,user155@example.com,77.5,False,Dept5,65500
156,User156,user156@example.com,78.0,True,Dept6,65600
157,User157,user157@example.com,78.5,False,Dept7,65700
158,User158,user158@example.com,79.0,True,Dept8,65800
159,User159,user159@example.com,79.5,False,Dept9,65900
160,User160,user160@example.com,80.0,True,Dept0,66000
161,User161,user161@example.com,80.5,False,Dept1,66100
162,User162,user162@example.com,81.0,True,Dept2,66200
163,User163,user163@example.com,81.5,False,Dept3,66300
164,User164,user164@example.com,82.0,True,Dept4,66400
165,User165,user165@example.com,82.5,False,Dept5,66500
166,User166,user166@example.com,83.0,True,Dept6,66600
167,User167,user167@example.com,83.5,False,Dept7,66700
168,User168,user168@example.com,84.0,True,Dept8,66800
169,User169,user169@example.com,84.5,False,Dept9,66900
170,User170,user170@example.com,85.0,True,Dept0,67000
171,User171,user171@example.com,85.5,False,Dept1,67100
172,User172,user172@example.com,86.0,True,Dept2,67200
173,User173,user173@example.com,86.5,False,Dept3,67300
174,User174,user174@example.com,87.0,True,Dept4,67400
175,User175,user175@example.com,87.5,False,Dept5,67500
176,User176,user176@example.com,88.0,True,Dept6,67600
177,User177,user177@example.com,88.5,False,Dept7,67700
178,User178,user178@example.com,89.0,True,Dept8,67800
179,User179,user179@example.com,89.5,False,Dept9,67900
180,User180,user180@example.com,90.0,True,Dept0,68000
181,User181,user181@example.com,90.5,False,Dept1,68100
182,User182,user182@example.com,91.0,True,Dept2,68200
183,User183,user183@example.com,91.5,False,Dept3,68300
184,User184,user184@example.com,92.0,True,Dept4,68400
185,User185,user185@example.com,92.5,False,Dept5,68500
186,User186,user186@example.com,93.0,True,Dept6,68600
187,User187,user187@example.com,93.5,False,Dept7,68700
188,User188,user188@example.com,94.0,True,Dept8,68800
189,User189,user189@example.com,94.5,False,Dept9,68900
190,User190,user190@example.com,95.0,True,Dept0,69000
191,User191,user191@example.com,95.5,False,Dept1,69100
192,User192,user192@example.com,96.0,True,Dept2,69200
193,User193,user193@example.com,96.5,False,Dept3,69300
194,User194,user194@example.com,97.0,True,Dept4,69400
195,User195,user195@example.com,97.5,False,Dept5,69500
196,User196,user196@example.com,98.0,True,Dept6,69600
197,User197,user197@example.com,98.5,False,Dept7,69700
198,User198,user198@example.com,99.0,True,Dept8,69800
199,User199,user199@example.com,99.5,False,Dept9,69900
200,User200,user200@example.com,100.0,True,Dept0,70000
201,User201,user201@example.com,100.5,False,Dept1,70100
202,User202,user202@example.com,101.0,True,Dept2,70200
203,User203,user203@example.com,101.5,False,Dept3,70300
204,User204,user204@example.com,102.0,True,Dept4,70400
205,User205,user205@example.com,102.5,False,Dept5,70500
206,User206,user206@example.com,103.0,True,Dept6,70600
207,User207,user207@example.com,103.5,False,Dept7,70700
208,User208,user208@example.com,104.0,True,Dept8,70800
209,User209,user209@example.com,104.5,False,Dept9,70900
210,User210,user210@example.com,105.0,True,Dept0,71000
211,User211,user211@example.com,105.5,False,Dept1,71100
212,User212,user212@example.com,106.0,True,Dept2,71200
213,User213,user213@example.com,106.5,False,Dept3,71300
214,User214,user214@example.com,107.0,True,Dept4,71400
215,User215,user215@example.com,107.5,False,Dept5,71500
216,User216,user216@example.com,108.0,True,Dept6,71600
217,User217,user217@example.com,108.5,False,Dept7,71700
218,User218,user218@example.com,109.0,True,Dept8,71800
219,User219,user219@example.com,109.5,False,Dept9,71900
220,User220,user220@example.com,110.0,True,Dept0,72000
221,User221,user221@example.com,110.5,False,Dept1,72100
222,User222,user222@example.com,111.0,True,Dept2,72200
223,User223,user223@example.com,111.5,False,Dept3,72300
224,User224,user224@example.com,112.0,True,Dept4,72400
225,User225,user225@example.com,112.5,False,Dept5,72500
226,User226,user226@example.com,113.0,True,Dept6,72600
227,User227,user227@example.com,113.5,False,Dept7,72700
228,User228,user228@example.com,114.0,True,Dept8,72800
229,User229,user229@example.com,114.5,False,Dept9,72900
230,User230,user230@example.com,115.0,True,Dept0,73000
231,User231,user231@example.com,115.5,False,Dept1,73100
232,User232,user232@example.com,116.0,True,Dept2,73200
233,User233,user233@example.com,116.5,False,Dept3,73300
234,User234,user234@example.com,117.0,True,Dept4,73400
235,User235,user235@example.com,117.5,False,Dept5,73500
236,User236,user236@example.com,118.0,True,Dept6,73600
237,User237,user237@example.com,118.5,False,Dept7,73700
238,User238,user238@example.com,119.0,True,Dept8,73800
239,User239,user239@example.com,119.5,False,Dept9,73900
240,User240,user240@example.com,120.0,True,Dept0,74000
241,User241,user241@example.com,120.5,False,Dept1,74100
242,User242,user242@example.com,121.0,True,Dept2,74200
243,User243,user243@example.com,121.5,False,Dept3,74300
244,User244,user244@example.com,122.0,True,Dept4,74400
245,User245,user245@example.com,122.5,False,Dept5,74500
246,User246,user246@example.com,123.0,True,Dept6,74600
247,User247,user247@example.com,123.5,False,Dept7,74700
248,User248,user248@example.com,124.0,True,Dept8,74800
249,User249,user249@example.com,124.5,False,Dept9,74900
250,User250,user250@example.com,125.0,True,Dept0,75000
251,User251,user251@example.com,125.5,False,Dept1,75100
252,User252,user252@example.com,126.0,True,Dept2,75200
253,User253,user253@example.com,126.5,False,Dept3,75300
254,User254,user254@example.com,127.0,True,Dept4,75400
255,User255,user255@example.com,127.5,False,Dept5,75500
256,User256,user256@example.com,128.0,True,Dept6,75600
257,User257,user257@example.com,128.5,False,Dept7,75700
258,User258,user258@example.com,129.0,True,Dept8,75800
259,User259,user259@example.com,129.5,False,Dept9,75900
260,User260,user260@example.com,130.0,True,Dept0,76000
261,User261,user261@example.com,130.5,False,Dept1,76100
262,User262,user262@example.com,131.0,True,Dept2,76200
263,User263,user263@example.com,131.5,False,Dept3,76300
264,User264,user264@example.com,132.0,True,Dept4,76400
265,User265,user265@example.com,132.5,False,Dept5,76500
266,User266,user266@example.com,133.0,True,Dept6,76600
267,User267,user267@example.com,133.5,False,Dept7,76700
268,User268,user268@example.com,134.0,True,Dept8,76800
269,User269,user269@example.com,134.5,False,Dept9,76900
270,User270,user270@example.com,135.0,True,Dept0,77000
271,User271,user271@example.com,135.5,False,Dept1,77100
272,User272,user272@example.com,136.0,True,Dept2,77200
273,User273,user273@example.com,136.5,False,Dept3,77300
274,User274,user274@example.com,137.0,True,Dept4,77400
275,User275,user275@example.com,137.5,False,Dept5,77500
276,User276,user276@example.com,138.0,True,Dept6,77600
277,User277,user277@example.com,138.5,False,Dept7,77700
278,User278,user278@example.com,139.0,True,Dept8,77800
279,User279,user279@example.com,139.5,False,Dept9,77900
280,User280,user280@example.com,140.0,True,Dept0,78000
281,User281,user281@example.com,140.5,False,Dept1,78100
282,User282,user282@example.com,141.0,True,Dept2,78200
283,User283,user283@example.com,141.5,False,Dept3,78300
284,User284,user284@example.com,142.0,True,Dept4,78400
285,User285,user285@example.com,142.5,False,Dept5,78500
286,User286,user286@example.com,143.0,True,Dept6,78600
287,User287,user287@example.com,143.5,False,Dept7,78700
288,User288,user288@example.com,144.0,True,Dept8,78800
289,User289,user289@example.com,144.5,False,Dept9,78900
290,User290,user290@example.com,145.0,True,Dept0,79000
291,User291,user291@example.com,145.5,False,Dept1,79100
292,User292,user292@example.com,146.0,True,Dept2,79200
293,User293,user293@example.com,146.5,False,Dept3,79300
294,User294,user294@example.com,147.0,True,Dept4,79400
295,User295,user295@example.com,147.5,False,Dept5,79500
296,User296,user296@example.com,148.0,True,Dept6,79600
297,User297,user297@example.com,148.5,False,Dept7,79700
298,User298,user298@example.com,149.0,True,Dept8,79800
299,User299,user299@example.com,149.5,False,Dept9,79900
300,User300,user300@example.com,150.0,True,Dept0,80000
301,User301,user301@example.com,150.5,False,Dept1,80100
302,User302,user302@example.com,151.0,True,Dept2,80200
303,User303,user303@example.com,151.5,False,Dept3,80300
304,User304,user304@example.com,152.0,True,Dept4,80400
305,User305,user305@example.com,152.5,False,Dept5,80500
306,User306,user306@example.com,153.0,True,Dept6,80600
307,User307,user307@example.com,153.5,False,Dept7,80700
308,User308,user308@example.com,154.0,True,Dept8,80800
309,User309,user309@example.com,154.5,False,Dept9,80900
310,User310,user310@example.com,155.0,True,Dept0,81000
311,User311,user311@example.com,155.5,False,Dept1,81100
312,User312,user312@example.com,156.0,True,Dept2,81200
313,User313,user313@example.com,156.5,False,Dept3,81300
314,User314,user314@example.com,157.0,True,Dept4,81400
315,User315,user315@example.com,157.5,False,Dept5,81500
316,User316,user316@example.com,158.0,True,Dept6,81600
317,User317,user317@example.com,158.5,False,Dept7,81700
318,User318,user318@example.com,159.0,True,Dept8,81800
319,User319,user319@example.com,159.5,False,Dept9,81900
320,User320,user320@example.com,160.0,True,Dept0,82000
321,User321,user321@example.com,160.5,False,Dept1,82100
322,User322,user322@example.com,161.0,True,Dept2,82200
323,User323,user323@example.com,161.5,False,Dept3,82300
324,User324,user324@example.com,162.0,True,Dept4,82400
325,User325,user325@example.com,162.5,False,Dept5,82500
326,User326,user326@example.com,163.0,True,Dept6,82600
327,User327,user327@example.com,163.5,False,Dept7,82700
328,User328,user328@example.com,164.0,True,Dept8,82800
329,User329,user329@example.com,164.5,False,Dept9,82900
330,User330,user330@example.com,165.0,True,Dept0,83000
331,User331,user331@example.com,165.5,False,Dept1,83100
332,User332,user332@example.com,166.0,True,Dept2,83200
333,User333,user333@example.com,166.5,False,Dept3,83300
334,User334,user334@example.com,167.0,True,Dept4,83400
335,User335,user335@example.com,167.5,False,Dept5,83500
336,User336,user336@example.com,168.0,True,Dept6,83600
337,User337,user337@example.com,168.5,False,Dept7,83700
338,User338,user338@example.com,169.0,True,Dept8,83800
339,User339,user339@example.com,169.5,False,Dept9,83900
340,User340,user340@example.com,170.0,True,Dept0,84000
341,User341,user341@example.com,170.5,False,Dept1,84100
342,User342,user342@example.com,171.0,True,Dept2,84200
343,User343,user343@example.com,171.5,False,Dept3,84300
344,User344,user344@example.com,172.0,True,Dept4,84400
345,User345,user345@example.com,172.5,False,Dept5,84500
346,User346,user346@example.com,173.0,True,Dept6,84600
347,User347,user347@example.com,173.5,False,Dept7,84700
348,User348,user348@example.com,174.0,True,Dept8,84800
349,User349,user349@example.com,174.5,False,Dept9,84900
350,User350,user350@example.com,175.0,True,Dept0,85000
351,User351,user351@example.com,175.5,False,Dept1,85100
352,User352,user352@example.com,176.0,True,Dept2,85200
353,User353,user353@example.com,176.5,False,Dept3,85300
354,User354,user354@example.com,177.0,True,Dept4,85400
355,User355,user355@example.com,177.5,False,Dept5,85500
356,User356,user356@example.com,178.0,True,Dept6,85600
357,User357,user357@example.com,178.5,False,Dept7,85700
358,User358,user358@example.com,179.0,True,Dept8,85800
359,User359,user359@example.com,179.5,False,Dept9,85900
360,User360,user360@example.com,180.0,True,Dept0,86000
361,User361,user361@example.com,180.5,False,Dept1,86100
362,User362,user362@example.com,181.0,True,Dept2,86200
363,User363,user363@example.com,181.5,False,Dept3,86300
364,User364,user364@example.com,182.0,True,Dept4,86400
365,User365,user365@example.com,182.5,False,Dept5,86500
366,User366,user366@example.com,183.0,True,Dept6,86600
367,User367,user367@example.com,183.5,False,Dept7,86700
368,User368,user368@example.com,184.0,True,Dept8,86800
369,User369,user369@example.com,184.5,False,Dept9,86900
370,User370,user370@example.com,185.0,True,Dept0,87000
371,User371,user371@example.com,185.5,False,Dept1,87100
372,User372,user372@example.com,186.0,True,Dept2,87200
373,User373,user373@example.com,186.5,False,Dept3,87300
374,User374,user374@example.com,187.0,True,Dept4,87400
375,User375,user375@example.com,187.5,False,Dept5,87500
376,User376,user376@example.com,188.0,True,Dept6,87600
377,User377,user377@example.com,188.5,False,Dept7,87700
378,User378,user378@example.com,189.0,True,Dept8,87800
379,User379,user379@example.com,189.5,False,Dept9,87900
380,User380,user380@example.com,190.0,True,Dept0,88000
381,User381,user381@example.com,190.5,False,Dept1,88100
382,User382,user382@example.com,191.0,True,Dept2,88200
383,User383,user383@example.com,191.5,False,Dept3,88300
384,User384,user384@example.com,192.0,True,Dept4,88400
385,User385,user385@example.com,192.5,False,Dept5,88500
386,User386,user386@example.com,193.0,True,Dept6,88600
387,User387,user387@example.com,193.5,False,Dept7,88700
388,User388,user388@example.com,194.0,True,Dept8,88800
389,User389,user389@example.com,194.5,False,Dept9,88900
390,User390,user390@example.com,195.0,True,Dept0,89000
391,User391,user391@example.com,195.5,False,Dept1,89100
392,User392,user392@example.com,196.0,True,Dept2,89200
393,User393,user393@example.com,196.5,False,Dept3,89300
394,User394,user394@example.com,197.0,True,Dept4,89400
395,User395,user395@example.com,197.5,False,Dept5,89500
396,User396,user396@example.com,198.0,True,Dept6,89600
397,User397,user397@example.com,198.5,False,Dept7,89700
398,User398,user398@example.com,199.0,True,Dept8,89800
399,User399,user399@example.com,199.5,False,Dept9,89900
400,User400,user400@example.com,200.0,True,Dept0,90000
401,User401,user401@example.com,200.5,False,Dept1,90100
402,User402,user402@example.com,201.0,True,Dept2,90200
403,User403,user403@example.com,201.5,False,Dept3,90300
404,User404,user404@example.com,202.0,True,Dept4,90400
405,User405,user405@example.com,202.5,False,Dept5,90500
406,User406,user406@example.com,203.0,True,Dept6,90600
407,User407,user407@example.com,203.5,False,Dept7,90700
408,User408,user408@example.com,204.0,True,Dept8,90800
409,User409,user409@example.com,204.5,False,Dept9,90900
410,User410,user410@example.com,205.0,True,Dept0,91000
411,User411,user411@example.com,205.5,False,Dept1,91100
412,User412,user412@example.com,206.0,True,Dept2,91200
413,User413,user413@example.com,206.5,False,Dept3,91300
414,User414,user414@example.com,207.0,True,Dept4,91400
415,User415,user415@example.com,207.5,False,Dept5,91500
416,User416,user416@example.com,208.0,True,Dept6,91600
417,User417,user417@example.com,208.5,False,Dept7,91700
418,User418,user418@example.com,209.0,True,Dept8,91800
419,User419,user419@example.com,209.5,False,Dept9,91900
420,User420,user420@example.com,210.0,True,Dept0,92000
421,User421,user421@example.com,210.5,False,Dept1,92100
422,User422,user422@example.com,211.0,True,Dept2,92200
423,User423,user423@example.com,211.5,False,Dept3,92300
424,User424,user424@example.com,212.0,True,Dept4,92400
425,User425,user425@example.com,212.5,False,Dept5,92500
426,User426,user426@example.com,213.0,True,Dept6,92600
427,User427,user427@example.com,213.5,False,Dept7,92700
428,User428,user428@example.com,214.0,True,Dept8,92800
429,User429,user429@example.com,214.5,False,Dept9,92900
430,User430,user430@example.com,215.0,True,Dept0,93000
431,User431,user431@example.com,215.5,False,Dept1,93100
432,User432,user432@example.com,216.0,True,Dept2,93200
433,User433,user433@example.com,216.5,False,Dept3,93300
434,User434,user434@example.com,217.0,True,Dept4,93400
435,User435,user435@example.com,217.5,False,Dept5,93500
436,User436,user436@example.com,218.0,True,Dept6,93600
437,User437,user437@example.com,218.5,False,Dept7,93700
438,User438,user438@example.com,219.0,True,Dept8,93800
439,User439,user439@example.com,219.5,False,Dept9,93900
440,User440,user440@example.com,220.0,True,Dept0,94000
441,User441,user441@example.com,220.5,False,Dept1,94100
442,User442,user442@example.com,221.0,True,Dept2,94200
443,User443,user443@example.com,221.5,False,Dept3,94300
444,User444,user444@example.com,222.0,True,Dept4,94400
445,User445,user445@example.com,222.5,False,Dept5,94500
446,User446,user446@example.com,223.0,True,Dept6,94600
447,User447,user447@example.com,223.5,False,Dept7,94700
448,User448,user448@example.com,224.0,True,Dept8,94800
449,User449,user449@example.com,224.5,False,Dept9,94900
450,User450,user450@example.com,225.0,True,Dept0,95000
451,User451,user451@example.com,225.5,False,Dept1,95100
452,User452,user452@example.com,226.0,True,Dept2,95200
453,User453,user453@example.com,226.5,False,Dept3,95300
454,User454,user454@example.com,227.0,True,Dept4,95400
455,User455,user455@example.com,227.5,False,Dept5,95500
456,User456,user456@example.com,228.0,True,Dept6,95600
457,User457,user457@example.com,228.5,False,Dept7,95700
458,User458,user458@example.com,229.0,True,Dept8,95800
459,User459,user459@example.com,229.5,False,Dept9,95900
460,User460,user460@example.com,230.0,True,Dept0,96000
461,User461,user461@example.com,230.5,False,Dept1,96100
462,User462,user462@example.com,231.0,True,Dept2,96200
463,User463,user463@example.com,231.5,False,Dept3,96300
464,User464,user464@example.com,232.0,True,Dept4,96400
465,User465,user465@example.com,232.5,False,Dept5,96500
466,User466,user466@example.com,233.0,True,Dept6,96600
467,User467,user467@example.com,233.5,False,Dept7,96700
468,User468,user468@example.com,234.0,True,Dept8,96800
469,User469,user469@example.com,234.5,False,Dept9,96900
470,User470,user470@example.com,235.0,True,Dept0,97000
471,User471,user471@example.com,235.5,False,Dept1,97100
472,User472,user472@example.com,236.0,True,Dept2,97200
473,User473,user473@example.com,236.5,False,Dept3,97300
474,User474,user474@example.com,237.0,True,Dept4,97400
475,User475,user475@example.com,237.5,False,Dept5,97500
476,User476,user476@example.com,238.0,True,Dept6,97600
477,User477,user477@example.com,238.5,False,Dept7,97700
478,User478,user478@example.com,239.0,True,Dept8,97800
479,User479,user479@example.com,239.5,False,Dept9,97900
480,User480,user480@example.com,240.0,True,Dept0,98000
481,User481,user481@example.com,240.5,False,Dept1,98100
482,User482,user482@example.com,241.0,True,Dept2,98200
483,User483,user483@example.com,241.5,False,Dept3,98300
484,User484,user484@example.com,242.0,True,Dept4,98400
485,User485,user485@example.com,242.5,False,Dept5,98500
486,User486,user486@example.com,243.0,True,Dept6,98600
487,User487,user487@example.com,243.5,False,Dept7,98700
488,User488,user488@example.com,244.0,True,Dept8,98800
489,User489,user489@example.com,244.5,False,Dept9,98900
490,User490,user490@example.com,245.0,True,Dept0,99000
491,User491,user491@example.com,245.5,False,Dept1,99100
492,User492,user492@example.com,246.0,True,Dept2,99200
493,User493,user493@example.com,246.5,False,Dept3,99300
494,User494,user494@example.com,247.0,True,Dept4,99400
495,User495,user495@example.com,247.5,False,Dept5,99500
496,User496,user496@example.com,248.0,True,Dept6,99600
497,User497,user497@example.com,248.5,False,Dept7,99700
498,User498,user498@example.com,249.0,True,Dept8,99800
499,User499,user499@example.com,249.5,False,Dept9,99900
500,User500,user500@example.com,250.0,True,Dept0,100000
501,User501,user501@example.com,250.5,False,Dept1,100100
502,User502,user502@example.com,251.0,True,Dept2,100200
503,User503,user503@example.com,251.5,False,Dept3,100300
504,User504,user504@example.com,252.0,True,Dept4,100400
505,User505,user505@example.com,252.5,False,Dept5,100500
506,User506,user506@example.com,253.0,True,Dept6,100600
507,User507,user507@example.com,253.5,False,Dept7,100700
508,User508,user508@example.com,254.0,True,Dept8,100800
509,User509,user509@example.com,254.5,False,Dept9,100900
510,User510,user510@example.com,255.0,True,Dept0,101000
511,User511,user511@example.com,255.5,False,Dept1,101100
512,User512,user512@example.com,256.0,True,Dept2,101200
513,User513,user513@example.com,256.5,False,Dept3,101300
514,User514,user514@example.com,257.0,True,Dept4,101400
515,User515,user515@example.com,257.5,False,Dept5,101500
516,User516,user516@example.com,258.0,True,Dept6,101600
517,User517,user517@example.com,258.5,False,Dept7,101700
518,User518,user518@example.com,259.0,True,Dept8,101800
519,User519,user519@example.com,259.5,False,Dept9,101900
520,User520,user520@example.com,260.0,True,Dept0,102000
521,User521,user521@example.com,260.5,False,Dept1,102100
522,User522,user522@example.com,261.0,True,Dept2,102200
523,User523,user523@example.com,261.5,False,Dept3,102300
524,User524,user524@example.com,262.0,True,Dept4,102400
525,User525,user525@example.com,262.5,False,Dept5,102500
526,User526,user526@example.com,263.0,True,Dept6,102600
527,User527,user527@example.com,263.5,False,Dept7,102700
528,User528,user528@example.com,264.0,True,Dept8,102800
529,User529,user529@example.com,264.5,False,Dept9,102900
530,User530,user530@example.com,265.0,True,Dept0,103000
531,User531,user531@example.com,265.5,False,Dept1,103100
532,User532,user532@example.com,266.0,True,Dept2,103200
533,User533,user533@example.com,266.5,False,Dept3,103300
534,User534,user534@example.com,267.0,True,Dept4,103400
535,User535,user535@example.com,267.5,False,Dept5,103500
536,User536,user536@example.com,268.0,True,Dept6,103600
